  GIMNAZJUM          MARYNARZ         FALBANKA         EDUKACJA
       Puścić               Gall Anonim             Okup                 Lekarz
      Świetlny                 Dzieje             Porwanie                Fotel

      tnemurtsnI             leicicśałW              iksilB             tnajciloP
        akyzuM               ynzcilbuP            leicajyzrP             kęiwżD
  ikswejarK nyreweS           owtsńaP              ymojanZ               akyzuM
        jóbezrP                 amriF              kapołhC               aidoleM
         łópseZ               ćeżelaN               ageloK                 atsU
YRATIG ENOWREZC             YNTAWYRP              LEPMUK               ĆADZIWG

    PAZNOKCIE                SYMBOL              MARZENIE            LECH POZNAŃ
     Hybryda              Serce                  Mieć                 Polska
     Malowanie               Syrenka          Niebieskie Migdały           Klub
        Dłoń                  Znak               Złota Rybka               Piłka
      Pedicure                Naród                Spełniać             Bułgarska
        Palec                Metafora                Śnić                Kolejorz

       kenyzcU              einezcelakS             ezroM                adnoS
     źdeiwźdeiN              anowrezC                dąL                 atibrO
    ćyzcdaiwśyW                 ałyŻ               ćawyłP             taiwśhcezsW
      leicajyzrP                anaR                rofsoB               ketatS
        comoP                  ćąnyłP              agnireB             atuanortsA
    AGUŁSYZRP                 WERK               ANINŚEIC               SOMSOK

      KAMIEŃ              STEWARDESSA          KOMBINEZON              PIROMAN
        Morze                   Lot                Służba               Człowiek
        Ziemia           Procedura Startowa      Chemiczny              Choroba
        Piasek                Samolot            Ochronny                Zapałki
     Filozoficzny             Pasażer              Narty                  Ogień
         Skała                Obsługa             Ubranie                 Palić

ywoicśonzcełopS latroP         aksęlK              jópaN                  tadnaM
        ageloK                ćśeindO                ćiP                 relortnoK
       lepmuK               owtsęicywZ              knirD          aksjeiM ajcakinumoK
      leicajyzrP             anargezrP             akruR                rotkudnoK
     asalK azsaN              ćanokoP              ćyzcąS                   teliB
      YMOJANZ                AKŻAROP              AKMOŁS                 RANAK

       ŻNIWA                 RARYTAS           ZNAK POKOJU              KARCER
       Zbierać               Najlepszy              Gołąb                  Kara
        Kłosy                Smakołyk              Kościół                Kraty
      Kombajn                Przysmak              Symbol              Recydywista
        Wieś                    Jeść               Wojna                Więzienie
        Lato                   Słodki           Przekazywać        Zakład Penitenciarny

       anizdoG               ywarpyzrP              pukaZ                 taiwŚ
         ńeiC                  oniW                ćatsoD                  neS
     ćawyzaksW                kizdźoG               tabaR                 arazS
        aroP                   yłpeiC             ajcomorP               ynlaeR
        sazC                    owiP                 aneC                adwarP
 YNZCENOŁS RAGEZ            CEINAZRG              AKŻINZ           ĆŚOTSIWYZCEZR

      NUTA           MATKA POLKA     TRENER        TEMPERATURA
       Zapis            Opieka         Nauka       Stopnie Celsjusza
   Komponować          Troskliwa    Piłka Nożna         Zimno
      Melodia            Ojciec      Szkolenie         Wysoka
      Muzyka             Dzieci         Szef          Termometr
  Klucz Wiolinowy      Ojczyzna      Warsztat          Gorączka

     acinteibO           ołoK        napmazS           jawmarT
     tnedyzerP            arG       ikrewrejaF          gąicoP
       mjeS            tamotuA        enollatS          anaimZ
       dązR             ćacuzR       koR ywoN          kenureiK
    einawosołG          atenoM       ńeizdurG            anyzS
AZCROBYW AINAPMAK       NOTEŻ      RETSEWLYS        ACINTORWZ

     KSIĄDZ           SNOOKER       ZDROWIE          LUNAPARK
     Plebania             Kij         Lekarz         Disnayland
      Kościół           Wbijać         Krew       Weseołe Miasteczko
       Msza             Bilard      Tryb Życia        Karuzela
     Sutanna             Kula        Choroba        Koło Młyńskie
      Religia            Stół          Koń          Samochodziki

    ęiS ćybzoP          ybzciL        ynoleiZ          akdałkO
       ćibdO              arG         akzsyM           akluzsoK
      akcajiP           remuN         rosruK            iktatoN
      kęiwźD           telpmoK        rotkeW             tyzseZ
    ezrteiwoP             soL           kuŁ           rotagergeS
    AKWAKZC             OGNIB       AKŁAZRTS         TYZSOROKS

    POBUDKA          BANKRUCTWO    PIECZĄTKA           RADOŚĆ
      Budzik            Interes     Dokument           Śmiech
     Wstawać            Biznes     Legitymacja        Szczęście
     Wojsko             Upadek         Tusz            Smutek
       Sen             Pieniądze      Znak             Uczucie
       Rano              Strata      Stempel         Zadowolenie

 ywokrómoK nofeleT        otuA        ząrB           anyzcweizD
      enohpI           dóhcomaS       nyłP            aborohC
       celaP            airetaB       kamS             kapołhC
     roziweleT           ymelK        apuZ             eicuzcU
       elppA          ćawodałzoR    awarpyzrP           ćśołiM
YWOKYTOD NARKE       ROTALUMUKA      IGGAM           ĆŚORDZAZ

   EUROPOSEŁ          PIECZARKI      GALON             SUWAK
      Bruksela         Zbierać       Benzyna            Bluza
    Kadencja         Hodowla        Miara            Spódnica
   Deputowany           Grzyb        Ameryka            Kurtka
  Unia Europejska       Pizza        Objętość         Zamknięcie
     Parlament          Biały          Litr             Zamek

       ytraK              mliF      akwabaZ             akniohC
        arG              rtaeT       ęzreiwZ            ketałpO
      onysaK           ajziweleT     ainopaJ         einajicśezrhC
      drazaH            akutzS      ojaJ amaT             góB
       żdyrB             anecS         apuK            akdzaiwG
      REKOP            ROTKA       IHCTOGAMAT     EINEZDORAN EŻOB

    MARGARYNA               PRĘGIERZ            KLOSZARD            REWOLUCJA
       Tłuszcz                Chłosta             Żebrak           Październikowa
        Masło               Publiczność            Bieda              Przewrót
      Smarować              Przywiązać            Menel              Francuska
       Roślina                 Kara             Bezdomny                Rząd
        Rama                   Słup             Schronisko             Obalać

       aretnaP                  katP                soN                ćśołuzC
       ęzreiwZ                 einataL             apuK             eineinmopsW
     dóhcomaS                 oksintoL            hcapaZ               ćśobałS
     atuA ledoM               kazcruK              roteF                ćeiM
         toK                  tolomaS               toP                ćęimaP
      RAUGAJ                OŁDYZRKS             DÓRMS              TNEMYTNES

      RZEŹBA                    GEJ               PROCA         KOLEJ TRANSSYBERYJSKA
       Sztuka               Mężczyzni             Goliat               Pociąg
      Eksponat                 Pedał              Patyk                Zimno
       Artysta           Heteroseksualista        Strzał                Azja
       Marmur            Homoseksualista          Broń                  Tory
        Posąg             Dwóch Facetów           Guma                 Rosja

        ilihC               ćawopętsaZ            akniohC             einawadU
      owyzraW                   mliF                ałaM           einawozongorP
        artsO                  rotkA              ałgąrkO              tolomaS
      anowrezC           owtsńezceipzebeiN        abodzO                 zsłaF
       aktseP                 ćakakS          einezdoraN eżoB       aworetupmoK
      AKYRPAP               REDAKSAK             AKBMOB             AJCALUMYS

      MIGRENA               KRÓLOWA           JĘZYK POLSKI           JARMUŁKA
       Ciśnienie             Królestwo            Szkoła               Głowa
          Ból                  Żona             Nauczyciel            Judaizm
          Leki                Korona             Matura                 Żyd
Tabletki Przeciwbólowe        Władca             Wiersz               Nakrycie
         Głowa                Zamek             Przedmiot              Czapka

         giluK               dóhcomaS            anowrezC              aruzyrF
        geinŚ                ywonilapS             edołM             ćeikonzaP
       ćizdźeJ                 dępaN              ikaruB                ysołW
         amiZ                 yworaP                apuZ             ćinwytzsU
        iceizD                 leseiD              ynmiZ              kelezdęP
       IKNAS             YWOKOŁT KINLIS        AKNIWTOB               REIKAL

   KOT W BUTACH            JAMES BOND         OSZCZĘDNOŚCI            WHISKY
       Bajka             Jej Królewska Mość     Skarbonka             Szkocja
       Shrek                     007             Odkładać              Dżem
      Miauczeć                  Agent             Zbierać             Alkohol
      Zwierzę                    Film              Konto            Ballanteines
      Mruczeć                   Szpieg          Pieniądze             Koniak

      roziweleT              ćainałsaZ            taL otS              akżinZ
         ćataL                 yzcO               zerpmI              anjytraP
        akpazC                ecńołS             ynineimI            awobżułS
      akzceicyW              yripmaW             ytnezerP              eicejdZ
       tolomaS                cyżęisK           ćizdohcbO            akcnedutS
      AKTOLIP               EINEIMĆAZ           YNIZDORU           AJCAMYTIGEL

DEBILKA            ŁOTR          ZAKAZANY OWOC               MÓZG
 Półgłówek        Nikczemnik           Jabłko                  Ptak
 Wariatka            Zbój               Wąż                   Głowa
   Idiota          Bandyta             Grzech                 Myśleć
   Głupia             Zło            Adam I Ewa                Mieć
  Szalona         Napastnik              Raj                  Półkula

    atsU             ikdołS            krameleT             iksewroN
   ynrdęJ           ababilA          zsyłaM madA              ihsuS
akwakyzrtS         ikzsulaP              tropS                 praK
  asabłeiK          onraiZ               geinŚ                abyR
ikzczsramZ         ćareiwtO              amiZ             ywozcńaramoP
 SKOTOB            MAZES         EIKSRAICRAN IKOKS            ŚOSOŁ

  OGON           PSYCHOLOG           CELEBRYTA             SPARTIATA
    Lisi           Problem            Paparazzi             Kserkses
  Merdać          Psychiatra          Telewizja            Wychowanie
  Ciągnąć           Lekarz             Sława                Wojownik
 Zwierzęta         Kozetka             Plotka               Leonidas
    Kita            Pomoc             Gwiazda               Termopile

  kacelP             giM                 żąM                   ajsoR
  żórdoP             61 F              ateiboK                kytiloP
 ćazdeiwZ         einawoloP              bulŚ               tnedyzerP
   jarK           kinwosułK           ikzcąrbO             weideiwdeiM
  abosO            tolomaS           anozcezraN                oduJ
 ATSYRUT         CEIWILŚYM              ANOŻ             NITUP RIMIDAŁW

PROFESOR          HULA HOP            KIEŁBASA             FEMINISTKA
 Zaliczenie          Koło               Kiszka               Mężczyźni
 Nauczyciel        Zabawa               Mięso            Kazimiera Szczuka
  Doktor            Kręcić             Wybory                Nie Lubić
  Wykład           Obręcz            Sklep Mięsny           Sufrażystka
Uniwersytet         Biodra             Parówka               Wojować

  reigalzS         tolomaS            gónorowzC            kyzczsobeiN
  akyzuM         hcynaD sipaZ           ezreiwZ             zratnemC
    atsiL          adomoK              leicajyzrP           ćawohcoP
   rówtU             yłaiB                 toK               anmurT
     tiH          afortsataK             zcymS               ćreimŚ
 JÓBEZRP       AKNYZRKS ANRAZC           SEIP               BEZRGOP

TŁUMACZKA      BLOK RYSUNKOWY            GĘŚ              MUMIFIKACJA
Pośredniczyć       Malować             Zwierze                Ciało
  Przekład          Kredka        Teatrzyk Zielona ...        Egipt
   Polski           Szkoła             Pieczona            Wnętrzności
   Język           Plastyka             Kaczka               Faraon
 Przysięgły         Dzieci              Kopać               Balsam

   otsaiC          akwabaZ             ęzreiwZ                azdeiW
   reskiM          rotkepsnI            tkesnI                ikżąisK
  ainhcuK         ywomalkeR             aimeiZ                 ynecO
  anyzsaM         ęiS ćilawhC        zsuedaT naP               ńezcU
   2d-2R              snaL              zdąisK                 akuaN
  TOBOR            TEŻDAG              KABOR                  NOJUK

   BAGAŻNIK        MADAME TUSSAUDS         PRZYJACIELE             SZCZUR
       Koło              Wosk                  Bliski                Mysz
      Rower             Postacie               Serial             Deratyzacja
    Przewozić           Rzeźba                  Pies                Gryzoń
     Chować             Muzeum           Komedia Sytuacyjna         Kanały
       Auto             Londyn                Kolega                Piwnice

      adardZ            reżasaP              ęiS ćaizD              akwilŚ
     ikinrberS         amroftalP                ćiboR              anoisaN
  sutsyrhC suzeJ        cezrowD                aktsuP               ywtaŁ
    kenułacoP             jeloK             kinwozcezR              cowO
       rejziW            gąicoP                  ciN               kedorŚ
ATOIRAKSI ZSADUJ        NOREP                  ADUN                AKTSEP

  DZIEŃ DZIECKA        WIĘZIENIE         ROWEREK MAGNETYCZNY       FLASZKA
     Święto             Klawisz               Ćwiczyc              Butelka
    Pociecha              Cela                 Pedały               Szkło
     Prezent             Kara                 Kondycja             Wódka
    Czerwiec            Wyrok                Przyciągać              Litr
    Pierwszy             Krata                Siłownia              Picie

     telotsiP      ataiwŚ awtsozrtsiM         reimerP                akjaB
     ejobaN             laidnuM                aidutS              mawgiW
      ksicoP             akyrfA                azdałW              aknaidnI
       aluK              abąrT                kenureiK          yzrodatsiwknoK
       ńorB              sałaH               aigolojcoS           akzcinżęisK
   AJCINUMA           ALEZUWUW             AIGOLOTILOP          SATNOHACOP

    SAMOLOT             OBRAZ                   PET            PODKOLANÓWKA
     Lecieć             Malować               Papieros              Długa
    Wycieczka            Ściana                 Fajki             Skarpeta
    Skrzydła             Płótno                Gasić               Rzepka
    Lądować              Rama                   Filtr            Antygwałtka
    Lotnisko            Picasso                 Palić                Udo

      yrtaT              narkE                  muR                ćareiwtO
     ewoduL              iksałP                jazdoR              ćamałW
      arókS              apmaL                lohoklA                zculK
      laróG            roziweleT                knirD              ćawosaP
       ytuB             rotinoM               aknomiL               iwzrD
    ECPREIK           POKSENIK                OTIJOM              HCYRTYW

    DOWÓD               IZAAK                 LASKA                SKUCHA
     Osobisty          Abraham                Starzec               Guma
   Prawo Jazdy          Ofiara              Dziewczyna             Skakać
     Zbrodnia           Biblia                Wanilia             Potknięcie
      Zbierać          Newton                   Iść                  Gra
      18 Lat            Prawo                 Zrobić                 Błąd

      kibuR              yzcO                 margorP                agęisK
      aratiG             soaL                   hcorG              ailegnawE
      apotS            aidnaljaT                 ćaiS           tnematseT ywoN
      agoN                żyR                kinzcenołS              ytęiwŚ
       arG             manteiW                 ćąnsoR                 ailbiB
    AKTSOK            YNIHCODNI               ONRAIZ          EIKSLOTSOPA EJEIZD

    ŻELKI         PRZEKAZ PODPROGOWY        PAWILON            MORZE BAŁTYCKIE
   Galaretka            Mózg                 Kupować                Polska
      Miś            Świadomość              Sprzedaż                Fale
   Gumowe              Ułamek                Budynek                Pływać
    Haribo             Poczta                 Budka                  Woda
   Słodycze            Krótki                 Sklep                 Ocean

  yłanoksoD            yzswreiP               akyzuM                  kaT
   lohoklA               zakoP               owogąrM                 karB
     góB            eineiwatsdezrP            aksoiW               awomdO
    akdóW             ćśotsyzcorU             ożdnaB             einezcezrpaZ
     tyB                  mliF               nretseW               wytageN
  TULOSBA             AREIMERP              YRTNUOC                  EIN

  PLANDEKA              KLAPS             JAN MIODEK                BIAŁY
    Płachta             Pupa               Językoznawca             Barwa
    Brezent             Kara                  Bralczyk               Kolor
  Ciężarówka           Uderzać                Słownik               Śnieg
   Ochrona             Dziecko         Ojczyzna- Polszczyzna        Czarny
  Przykrycie            Film                    Miód                 Kruk

   akzcinoD              keW                  dówaZ                 ćiwóM
      ęimI            adalomraM             eineżyzrtS             kinhciM
     teloiF              kiołS                 nolaS               ynźaryW
    anilśoR             meżD                 einasezC               kyzęJ
     taiwK              ecowO                 ysołW                   yłZ
  TNYCAIH            YRUTIFNOK              REJZYRF               ĆINELPES

   ALFONS              PRAGA                 KŁÓDKA                DOBROĆ
    Burdel            Warszawa                Drzwi               Uprzejmość
  Stręczyciel         Słowacja                 Klucz              Poczciwość
  Prostytutka          Stolica               Zamykać                  Zło
   Opiekun             Czechy                 Zamek                Empatia
     Imię             Dzielnica               Buzia                  Miły

  awokitsalP           ikbyzS                 ćasiP                 teparaP
   ałgąrkO             ćibugZ                 apurG                refyrolaK
    einarP             ateiniW               łsymoP                  arbeŻ
     seiP              ytałpO                ćelśyM                   ceiP
   aktałaS              agorD                melborP                 ołpeiC
    AKSIM           ADARTSOTUA          WÓGZÓM AZRUB              KINJEZRG

    KIPER           KROPKA NA I              RUKOLA             WYCIERACZKA
     Wino               Tvn 24               Zielony                Próg
  Degustator        Prosto W Oczy             Listek               Deszcz
     Smak           Monika Olejnik            Sałata              Samochód
    Osoba              Politycy                Zioło                Drzwi
Organoleptyczny        Program              Przyprawa              Podłoga

     dółG             dóhcomaS                 bulŚ              eineibęngyzrP
 eineinżelazU           ćapelK               aicbaB                 ajserpeD
   sumyzrP               otuA                aruzyrF                 ketumS
  ysoreipaP             aksaL                 ysołW                   ńeiseJ
  mzilohoklA          aketoksyD               ćąipU                   ćśołZ
    GÓŁAN             ARAHCALB                 KOK                ARDNAHC

    KURZAJKA         POZYTYWKA         BENEDYKT XVI       LACZKI
      Pieprzyk         Melodia         Głowa Kościoła       Buty
       Krosta            Grać               Biel           Klapki
    Dermatolog          Kręcić          Jan Paweł Ii        Frote
      Wypalać         Zabawka              Papież          Obuwie
     Brodawka         Katarynka           Watykan          Kapcie

 ademoK fotzsyzrK       ćagąiŚ            ynilśoR          akutzS
    ajcazinarkE      einezczsertS         owtsóB          akytsalP
     atsycrozgE      einawocarpO          ytaiwK          elerawkA
      niveL arI       ćawysipdO          atęzreiwZ          ybraF
  iksńaloP namoR       owtsineL            arolF          ćawolaM
YRAMESOR OKCEIZD         KYRB             ANUAF          KELEZDĘP

   KROPIDŁO            WOJNA           KOPCIUSZEK          SEKS
      Woda            Secesyjna          Macocha            Łóżko
     Święty         Konflikt Zbrojny    Pantofelek         Uprawa
     Chrzcić          Światowa          Księżniczka       Stosunek
     Ksiądz             Śmierć            Północ           Pieprz
     Kolęda              Bitwa             Bajka          Grupowy

     grurihC         sumodrojaM            kenaR            ytuN
      ażąiC            agułsbO             jópaN          ćahcułS
     leplakS            derflA              jazC           ćicuN
     okceizD             jakoL             awaK           akyzuM
      dóroP             comoP              rapaN          ćaweipŚ
EICĘIC EIKSRASEC    RENYDREMAK           ATABREH         AKNESOIP

    KADARKA         PROTAGONISTA          CYTAT             KILT
     Alkohol           Tytułowy            Motto            Szkot
     Węgry              Książka          Sentencja         Kiecka
      Wino          Główny Bohater       Przytaczać        Kratka
      Napój            Oponent           Literatura       Spódnica
     Butelka             Aktor           Cudzysłów       Tradycyjny

      dówaZ            kenowzD            daiwyW          róbodeiN
       yzcO              iwzrD          zrakinneizD         ybęZ
   ukorzW adaW           ćakuP             ćiwóM         ezranyraM
     yralukO           ćazredU           ćawyrgaN         aborohC
      zrakeL            loicsoK           dałkyW         ynimatiW
    ATSILUKO          AKTAŁOK           NOFATKYD         TUBROKZS

     MATRIX             OPTYK            ZAKUPY         ZŁAMANY ZĄB
       Film             Okulary          Nabywać          Zepsuty
      Macierz          Soczewki            Robić          Dentysta
   Keanu Reeves        Oprawki            Market          Siekacz
     Morfeusz            Sklep             Sklep            Ból
       Neo               Szkło            Allegro           Gips


  iksyzrawoT moD         zyrG              tarapA            oroM
       snoflA             kyŁ             fargotoF          akłymZ
       akwizD            yłaM              aicęjdZ        einarbezrP
     ezdąineiP           ćśeJ           ołdaicreiwZ      einawoksaM
         riT           keławaK           ćakyrtsP          ęiS ćyrkU
  AKTUTYTSORP            SĘK           AKNAZRTSUL        ŻALFUMAK

     DYLEMAT             WĄTROBA             JOJO          JEZUS CHRYSTUS
       Problem            Marskość            Koło           Trójca Święta
        Wybór               Organ           Zabawka               Syn
     Niepewność              Żółć             Dieta              Krzyż
        Kłopot             Żelazo           Sznurek               Bóg
      Wiedzieć             Alkohol            Efekt              Cierń

        laireS             yhcuS          ynróG I ynloD           zrasiP
         asU                ćśelP           asabłeiK            akluzsrU
       conłóP              kyzsoK            leigęW               ynerT
         śoŁ             aknocęiwŚ          ainlapoK             ikzsarF
      namhcielF           akząłaG            kinróG             salonrzC
AKSALA KENATSYZRP         ANILKIW            KSĄLŚ        IKSWONAHCOK NAJ

      SORBET              ZAPAŁKI         BESTSELLER           KALOSZE
        Lód               Patyczki           Pisarz             Walonki
       Owoc                Siarka           Sukces                Buty
      Mrożony             Papieros        Sprzedawać            Gumiaki
       Deser               Ogień           Popularny             Kałuża
    Orzeźwiający          Drewno            Książka             Deszcz

        otnoK            tknuP ybałS         aizuB             ydajobaŻ
     ajcartsejeR            apotS            ńeigO               kamilŚ
 akinwoktyżU awzaN         sellihcA         okceizD           alffiE ażeiW
        ołsaH               adaW             einasS               żyraP
         kciN               eclaP           kelemuC           yzokraS .N
       NIGOL               ATĘIP           KEZCOMS             AJCNARF

  PANNA MŁODA            NIBYNÓŻKI          ŹDŹBŁO          WINDYKATOR
       Wesele             Kończyna          Zielony            Komornik
       Welon             Pierwotniak         Belka             Wierzyciel
    Suknia Ślubna        Organellum          Trawa             Pieniądze
       Uciekać           Pantofelek         Murawa                Dług
       Kościół           Prawdziwy            Oko              Zaległości

   iksmuT wórtsO           ysadidA          ćawotoG             aknihC
     kedoiM naJ           ikwósineT           araK              onomiK
aksąlŚ ogenloD acilotS      ćageiB          ynozceiP            aktajzA
       ualserB               ytuB             yrtsO               yzcO
        ardO              ikaicamzS         einezdeJ             ikpalK
     WAŁCORW              IKPMART          YWORUS              AKNOPAJ

       ROSJA               LASSO        SKOK NA BUNGEE    LATAJĄCY HOLENDER
      Zaborca               Kręcić            Nogi               Legenda
        Car                  Pętla            Lina                Widmo
     Matrioszka          Dziki Zachód        Wiązać                Okręt
      W. Putin              Sznur              Dół                Statek
      Moskwa               Western          Przepaść        Piraci Z Karaibów

      aitsenmA              kąjaP            ettaL              ketązrW
         dąS                nokaZ            awaK                adoW
         araK             dlawnurG           adoW               ćawotoG
     einezromU             ycmeiN             ałaM              atabreH
     einezcezrO             0141            atabreH               dąrP
     AJCILOBA             KAŻYZRK          OSSERPSE       YWODOWEZRPZEB KINJAZC

STUDIA WIECZOROWE          ATENA               CIĄGNIK         KSIĘGA EZECHIELA
      Księżyc              Sowa                  Traktor          Stary Testament
       Rano                Bogini                 Wieś                Kochelet
     Dzienne              Mądrość              Pojemność               Biblia
    Dobranocka             Olimp                  Kupić                Święty
     Zaoczne               Grecja               Blenders               Pismo

      ćajimO               sapmoK                 ćilaP               aidemoK
      ćahceJ              kinźaksW             ęiS ćisonU            zciwejaguB
      otsaiM              kenureiK               ńeigO                   nvT
      agorD                 conłóP                hcaD                   mliF
       asarT                 spG                 nimoK                  laireS
   ACINDOWBO              ALOSUB                 MYD             KEMOT I AISAK

     LEMUR                 RYNEK                HONOR                  RZĘSA
   Madagaskar                Bruk                Cześć                Powieka
    Małpiatka               Ratusz               Duma                   Oko
      Oczy                 Kwadrat              Ojczyzna                Stać
    Zły Duch             Główny Plac            Prawość                Staw
     Zwierzę                Czarny              Godność                 Tusz

     ćawolaM                ałokzS              ćśonlageL                ćśeJ
     kenusyR                  alaH             einezduboP             eineimuS
      rutnoK         enzcyziF einawohcyW      ynzcytegrenE             okceizD
      kewółO                 tropS              tnalumytS               ćśoK
      ondurB              ainezciwĆ              kytokraN                bąZ
      CIKZS          ANZCYTSANMIG ALAS         ZCALAPOD                ĆŹYRG

    SALETRA             ZWIERZĘTA               KULFON              HISZPANIA
      Szynka               Świnia                Uszy                Madryt
         Sól                Koń                  Żaba           Półwysep Iberyjski
     Utleniacz              Pies                Bajka               Portugalia
  Nawóz Sztuczny         Czworonóg              Monika                 Byk
Materiał Wybuchowy       Stworzenie              Nos                Barcelona

        ćiP               tajcneciL              nelT                   ikneiC
       zakaZ               rotkoD                werK                   ikdołS
      lohoklA              ńeipotS               ałyŻ                  ketałpO
    ćawyżopS                acarP               ćąnyłP                  lefaW
     akyremA               aidutS               acintęT                aktsaiC
   AJCIBIHORP            RETSIGAM          ANOWREZC AKNIWRK          YTURDNA

     OGAREK                ZAPAŁ           TELEFON KOMÓRKOWY   PRZYSZŁA KRYSKA NA MATYSKA
      Diabeł               Energia              Antena              Ułamkowa
       Dola                Ochota                Sms                  Kreska
      Świeca                Praca                Bell            Bayer Leverkusen
       Bóg                  Chęć                 Sieć               Bramkarz
      Szatan               Robota                Mms                Przysłowie

     ripmaW                 regaL               azdałW                kerunzS
     alukarD               leimhC                 taW                   ćataL
       mliF             ćawozyretsaP            ćśobałS                 rtaiW
      rorroH               akzsuP                 ałiS                ćazczsuP
       werK                 owiP                aigrenE               akwabaZ
   UTAREFSON              RAWORB                 COM                CEIWATAL

    DOMOFON                KARIMATA                KARTA                   IMIĘ
      Klatka                 Izolacja                Ręka                 Chrzest
     Otwierać                 Śpiwór               Trzymać                Mówić
     Nazwisko                Namiot                 Papier                 Osoba
     Dzwonić                  Zwijać              Kredytowa             Na Przykład
      Telefon                 Ziemia                  Gra                 Nazwa
